tokenId,plotId,color,level,grade,grade type,grade value,age,owner
70000,119,1,1,34469910,2,915478,0,0xefD6Ebe8B1f1Fad587A01e2DB7bD1b38bb63149c
70001,119,2,1,17449078,1,671862,0,0xefD6Ebe8B1f1Fad587A01e2DB7bD1b38bb63149c
70002,120,9,2,16861088,1,83872,0,0x5dc4561125fcaC2030d07301c50153cFe624391B
70003,120,10,1,67839313,4,730449,534088,0x5dc4561125fcaC2030d07301c50153cFe624391B
70004,120,2,1,17739712,1,962496,0,0x5dc4561125fcaC2030d07301c50153cFe624391B
70005,121,10,1,68027165,4,918301,534088,0x5dc4561125fcaC2030d07301c50153cFe624391B
70006,121,9,2,34050684,2,496252,0,0x5dc4561125fcaC2030d07301c50153cFe624391B
70007,121,1,1,34157336,2,602904,0,0x5dc4561125fcaC2030d07301c50153cFe624391B
70008,122,2,2,16986203,1,208987,0,0x5dc4561125fcaC2030d07301c50153cFe624391B
70009,122,10,1,67452281,4,343417,534088,0x5dc4561125fcaC2030d07301c50153cFe624391B
70010,122,1,1,17598849,1,821633,0,0x5dc4561125fcaC2030d07301c50153cFe624391B
70011,123,2,1,17573411,1,796195,0,0x5dc4561125fcaC2030d07301c50153cFe624391B
70012,123,9,2,67589538,4,480674,534088,0x5dc4561125fcaC2030d07301c50153cFe624391B
70013,123,9,1,16795164,1,17948,0,0x5dc4561125fcaC2030d07301c50153cFe624391B
70014,124,1,1,17482500,1,705284,0,0x5dc4561125fcaC2030d07301c50153cFe624391B
70015,124,9,1,17266540,1,489324,0,0x5dc4561125fcaC2030d07301c50153cFe624391B
70016,124,10,2,67491926,4,383062,534088,0x5dc4561125fcaC2030d07301c50153cFe624391B
70017,124,1,1,17067587,1,290371,0,0x5dc4561125fcaC2030d07301c50153cFe624391B
70018,125,1,1,68056449,4,947585,534087,0xAeC539A116fa75E8BdcF016D3C146a25bC1af93b
70019,125,2,2,34367337,2,812905,0,0xAeC539A116fa75E8BdcF016D3C146a25bC1af93b
70020,125,2,1,34190077,2,635645,0,0xAeC539A116fa75E8BdcF016D3C146a25bC1af93b
70021,126,1,2,67797781,4,688917,534087,0xAeC539A116fa75E8BdcF016D3C146a25bC1af93b
